text,label
有一处安全出口不畅通[SEP]工业/危化品类[SEP]消防检查[SEP]防火巡查[SEP]安全出口、疏散通道是否畅通，安全疏散指示标志、应急照明是否完好；,0
配电室长度超过7m时，没有设有两个出口[SEP]商贸服务教文卫类[SEP]电气安全[SEP]配电房[SEP]配电室长度超过7m时，应设两个出口，并宜布置在配电室的两端。配电室应配备绝缘垫、绝缘棒、绝缘手套、绝缘鞋等防护用品，以及应急照明和灭火器材。,0
疏散通道堆满货物[SEP]工业/危化品类[SEP]消防检查[SEP]防火巡查[SEP]安全出口、疏散通道是否畅通，安全疏散指示标志、应急照明是否完好；,0
未进行消防演练[SEP]纯办公场所[SEP]基础管理[SEP]应急管理[SEP]定期进行应急演练，有演练记录。,0
新员工不能熟练掌握消防安全知识，已培训教育[SEP]工业/危化品类[SEP]消防检查[SEP]防火检查[SEP]重点工种人员以及其他员工消防知识的掌握情况；,0
走廊通道有一个灭火器到期，立即整改[SEP]工业/危化品类[SEP]消防检查[SEP]防火巡查[SEP]消防设施、器材和消防安全标志是否在位、完整；,0
巡查中发现紧急疏散指示灯故障，已经更换[SEP]工业/危化品类[SEP]消防检查[SEP]防火检查[SEP]安全疏散通道、疏散指示标志、应急照明和安全出口情况；,0
疏散指示灯故障[SEP]工业/危化品类[SEP]消防检查[SEP]防火巡查[SEP]安全出口、疏散通道是否畅通，安全疏散指示标志、应急照明是否完好；,0
安全疏散标志没有[SEP]工业/危化品类[SEP]消防检查[SEP]防火巡查[SEP]安全出口、疏散通道是否畅通，安全疏散指示标志、应急照明是否完好；,0
未组织员工进行应急逃生培训                         整改措施：组织员工进行安全消防、应急逃生、消防器材的实际使用培训并做记录。[SEP]工业/危化品类[SEP]应急管理[SEP]应急演练[SEP]定期组织应急演练。,0
冲压5号机插座存在烧浇现象，及时更换。[SEP]工业/危化品类[SEP]电气安全[SEP]电气线路及电源插头插座[SEP]电源插座、电源插头应按规定正确接线。,0
电源插头应按规定正确接线[SEP]商贸服务教文卫类[SEP]电气安全[SEP]电气线路及电源插头插座[SEP]电源插座、电源插头应按规定正确接线。,1
应急灯不完善[SEP]工业/危化品类[SEP]消防检查[SEP]防火检查[SEP]安全疏散通道、疏散指示标志、应急照明和安全出口情况；,0
一般隐患[SEP]交通运输类[SEP]电气安全[SEP]配电箱（柜、板）[SEP]配电箱、开关箱内不得放置任何杂物，电器元件不可安装在可燃材料上。,1
一楼四号常闭式防火门，经常被杂物堆放，责令清洁部，清理干净保持防火门关闭状态[SEP]商贸服务教文卫类[SEP]消防检查[SEP]防火巡查[SEP]常闭式防火门是否处于关闭状态，防火卷帘下是否堆放物品影响使用。,0
上月检查时灭火器表并未及时更新，现已更新完毕，整改完成。[SEP]工业/危化品类[SEP]消防检查[SEP]防火巡查[SEP]用火、用电有无违章情况；,0
灭火器未点检[SEP]工业/危化品类[SEP]消防检查[SEP]防火检查[SEP]灭火器材配置及有效情况；,0
2[SEP]工业/危化品类[SEP]消防检查[SEP]防火检查[SEP]灭火器材配置及有效情况；,1
仓库门上安全指示没有灯，已更换安装完毕。[SEP]纯办公场所[SEP]消防安全[SEP]消防通道[SEP]疏散通道无占用、堵塞、封闭等现象。安全出口不得上锁。,0
风管已安装火花探测仪及喷淋[SEP]工业/危化品类[SEP]重点监管工艺及场所[SEP]涉爆粉尘作业[SEP]粉尘爆炸危险场所除尘系统、金属设备，以及金属管道、支架、构件、部件等防静电措施应符合GB12158的要求，电气设备的保护接地应符合GB50058的要求，除尘系统的风管不得作为电气设备的接地导体。,1
没有安装防爆灯，已整改。[SEP]工业/危化品类[SEP]消防检查[SEP]防火检查[SEP]用火、用电有无违章情况；,0
有一个灭火器压力不足[SEP]工业/危化品类[SEP]消防检查[SEP]防火检查[SEP]灭火器材配置及有效情况；,0
尾部和车间的消防通道堵塞，要马上清理；成品箱码的超高不安全要调整。[SEP]工业/危化品类[SEP]消防检查[SEP]防火巡查[SEP]安全出口、疏散通道是否畅通，安全疏散指示标志、应急照明是否完好；,0
疏散通道堆积杂物，已清理[SEP]工业/危化品类[SEP]消防检查[SEP]防火巡查[SEP]安全出口、疏散通道是否畅通，安全疏散指示标志、应急照明是否完好；,0
配电室的门、窗关闭应密合[SEP]商贸服务教文卫类[SEP]电气安全[SEP]配电房[SEP]配电室的门、窗关闭应密合；门应向外开启，但通向高压配电室的门应为双向开启门。与室外相通的洞、通风孔应设防止鼠、蛇类等小动物进入安全防护措施（如采用金属网时，网格不得大于10㎜*10㎜）。室内电缆沟需采取防水和排水措施。,1
疏散通道不畅通[SEP]商贸服务教文卫类[SEP]消防检查[SEP]防火巡查[SEP]安全出口、疏散通道是否畅通，安全疏散指示标志、应急照明是否完好。,0
消防设施、器材和消防安全标志是否在位、完整；[SEP]工业/危化品类[SEP]消防检查[SEP]防火巡查[SEP]消防设施、器材和消防安全标志是否在位、完整；,1
安全出口堵塞，现场已安排人员进行整改[SEP]工业/危化品类[SEP]消防检查[SEP]防火巡查[SEP]安全出口、疏散通道是否畅通，安全疏散指示标志、应急照明是否完好；,0
灭火器未张贴警示性标语且有破损[SEP]工业/危化品类[SEP]消防检查[SEP]防火巡查[SEP]消防设施、器材和消防安全标志是否在位、完整；,0
电源乱拉乱接[SEP]商贸服务教文卫类[SEP]电气安全[SEP]电气线路及电源插头插座[SEP]电源插座、电源插头应按规定正确接线。,0
干粉灭火器有失压，过期。[SEP]商贸服务教文卫类[SEP]消防检查[SEP]防火检查[SEP]消防安全重点部位的管理情况。,0
部分安全出口指示标志脱落。[SEP]工业/危化品类[SEP]消防检查[SEP]防火检查[SEP]消防安全标志的设置情况和完好、有效情况；,0
消防栓门口被桶装水堵塞。[SEP]纯办公场所[SEP]消防安全[SEP]消防通道[SEP]疏散通道无占用、堵塞、封闭等现象。安全出口不得上锁。,0
磨刀机背后发动机防护罩脱落[SEP]工业/危化品类[SEP]机械设备安全防护[SEP]人身防护[SEP]皮带轮、齿轮、凸轮、曲柄连杆机构等外露的转动和运动部件应有防护罩。,0
12号机后边通道有一卡板货压线[SEP]工业/危化品类[SEP]消防检查[SEP]防火巡查[SEP]安全出口、疏散通道是否畅通，安全疏散指示标志、应急照明是否完好；,0
未实施新员安全教育培训[SEP]工业/危化品类[SEP]安全教育培训[SEP]员工安全教育及外来人员培训教育[SEP]制定并实施全员参与的安全教育培训计划，并建立档案。对外来施工、工作和参访人员进行安全教育和安全告知并建立档案。,0
灭火器没有合理分布。[SEP]纯办公场所[SEP]消防安全[SEP]灭火器材[SEP]灭火器应合理分布，固定摆放并定期校验。,0
一栋四楼B消防通道堆放杂物[SEP]商贸服务教文卫类[SEP]消防检查[SEP]防火检查[SEP]安全疏散通道、疏散指示标志、应急照明和安全出口情况。,0
灭火器过期[SEP]商贸服务教文卫类[SEP]电气安全[SEP]配电房[SEP]配电室的门、窗关闭应密合；门应向外开启，但通向高压配电室的门应为双向开启门。与室外相通的洞、通风孔应设防止鼠、蛇类等小动物进入安全防护措施（如采用金属网时，网格不得大于10㎜*10㎜）。室内电缆沟需采取防水和排水措施。,0
生产车间通道具占用[SEP]工业/危化品类[SEP]消防检查[SEP]防火巡查[SEP]安全出口、疏散通道是否畅通，安全疏散指示标志、应急照明是否完好；,0
没有制定安全教育培训计划[SEP]商贸服务教文卫类[SEP]安全教育培训[SEP]员工安全教育[SEP]制定安全教育培训计划，确保全员参与培训，并建立安全培训档案。,0
消防标志不明晰[SEP]工业/危化品类[SEP]消防检查[SEP]防火巡查[SEP]安全出口、疏散通道是否畅通，安全疏散指示标志、应急照明是否完好；,0
2个有过期，已清理，重新补上新的[SEP]工业/危化品类[SEP]消防检查[SEP]防火巡查[SEP]消防设施、器材和消防安全标志是否在位、完整；,0
灭火器过期[SEP]交通运输类[SEP]消防安全[SEP]防火检查[SEP]灭火器材配置及有效情况。,0
制三课后门一处灭火器掉落[SEP]工业/危化品类[SEP]消防检查[SEP]防火巡查[SEP]消防设施、器材和消防安全标志是否在位、完整；,0
有杂物[SEP]工业/危化品类[SEP]电气安全[SEP]配电箱（柜、板）[SEP]配电箱、开关箱内不得放置任何杂物，电器元件不可安装在可燃材料上。,0
临时堆放货物，已整改[SEP]工业/危化品类[SEP]消防检查[SEP]防火巡查[SEP]消防设施、器材和消防安全标志是否在位、完整；,0
杂物堆放消防通道，已马上整改。[SEP]商贸服务教文卫类[SEP]消防检查[SEP]防火检查[SEP]安全疏散通道、疏散指示标志、应急照明和安全出口情况。,0
安全通道指示线不清晰[SEP]工业/危化品类[SEP]消防检查[SEP]防火巡查[SEP]安全出口、疏散通道是否畅通，安全疏散指示标志、应急照明是否完好；,0
公司三楼办公楼走北侧楼梯间灭火器标志脱落，已贴好。[SEP]商贸服务教文卫类[SEP]消防检查[SEP]防火巡查[SEP]消防设施、器材和消防安全标志是否在位、完整。,0
地标不亮，立即整改。[SEP]商贸服务教文卫类[SEP]消防检查[SEP]防火巡查[SEP]安全出口、疏散通道是否畅通，安全疏散指示标志、应急照明是否完好。,0
"作业通道临时堆放杂物[SEP]工业/危化品类[SEP]作业环境[SEP]作业通道[SEP]作业通道应保持畅通，禁止临时堆放货物；通道以黄色或者白色线标明。凡有地坑、壕、池的地方,应设置盖板或护栏。",0
安全疏散通道堵塞[SEP]工业/危化品类[SEP]消防检查[SEP]防火检查[SEP]安全疏散通道、疏散指示标志、应急照明和安全出口情况；,0
应急灯不亮，换新[SEP]三小场所[SEP]消防安全[SEP]消防通道和疏散[SEP]疏散通道、安全出口设置应急照明灯和疏散指示标志。,0
特殊闪光灯生产线的色温调节室内的照明灯盘在周末车间空调关闭后，由于温差的原因会结露，尽管安装有合适的剩余电流保护装置，仍然存在一定安全隐患，所以将普通照明灯更换为防爆灯，避免露水进入灯盘[SEP]工业/危化品类[SEP]电气安全[SEP]漏电保护[SEP]高度低于2.4m照明灯具电源插座回路均应安装额定剩余动作电流不大于30mA、一般型（无延时）的剩余电流保护装置。,0
未放置防爆柜子里[SEP]工业/危化品类[SEP]消防检查[SEP]防火检查[SEP]易燃易爆危险物品和场所防火防爆措施的落实情况以及其他重要物资的防火安全情况；,0
消防通道有货物[SEP]工业/危化品类[SEP]消防检查[SEP]防火巡查[SEP]安全出口、疏散通道是否畅通，安全疏散指示标志、应急照明是否完好；,0
未设放老鼠贴[SEP]商贸服务教文卫类[SEP]电气安全[SEP]配电房[SEP]配电室的门、窗关闭应密合；门应向外开启，但通向高压配电室的门应为双向开启门。与室外相通的洞、通风孔应设防止鼠、蛇类等小动物进入安全防护措施（如采用金属网时，网格不得大于10㎜*10㎜）。室内电缆沟需采取防水和排水措施。,0
28栋7楼安全出口堵塞，现场已整改[SEP]工业/危化品类[SEP]消防检查[SEP]防火巡查[SEP]安全出口、疏散通道是否畅通，安全疏散指示标志、应急照明是否完好；,0
主要负责人及从业人员没有安全培训记录。[SEP]三小场所[SEP]基础管理[SEP]安全培训[SEP]主要负责人及从业人员有安全培训记录。,0
电箱绝缘盖板缺失：已安排电工及时整改[SEP]纯办公场所[SEP]电气安全[SEP]配电箱（柜、板）[SEP]配电箱内裸露带电体应设置屏护板，电气开关应安装在不燃材料上。,0
整改完毕[SEP]工业/危化品类[SEP]机械设备安全防护[SEP]危险机械设备[SEP]冲、剪、压机械、木工机械、砂轮机、注塑机械、压痕机、粉碎机、抛光机等危险设备的安全防护装置完好齐全。,1
疏散通道堆放杂物[SEP]工业/危化品类[SEP]消防检查[SEP]防火检查[SEP]安全疏散通道、疏散指示标志、应急照明和安全出口情况；,0
有一盏应急照明灯故障，需更换[SEP]商贸服务教文卫类[SEP]消防检查[SEP]防火巡查[SEP]安全出口、疏散通道是否畅通，安全疏散指示标志、应急照明是否完好。,0
立式空调电源无地线[SEP]工业/危化品类[SEP]电气安全[SEP]电气线路及电源插头插座[SEP]插拔插头时，应保证电气设备和电气装置处于非工作状态，同时人体不得接触及插头的导电极，并避免对电源线施加外力。,0
"黄色地标线模糊，补地标线，把超出的货物摆放整齐。[SEP]工业/危化品类[SEP]作业环境[SEP]作业通道[SEP]作业通道应保持畅通，禁止临时堆放货物；通道以黄色或者白色线标明。凡有地坑、壕、池的地方,应设置盖板或护栏。",0
G1栋2楼车间内工作台照明电源线套管破损（已整改）。[SEP]工业/危化品类[SEP]消防检查[SEP]防火巡查[SEP]其他消防安全情况。防火巡查人员应当及时纠正违章行为，妥善处置火灾危险，无法当场处置的，应当立即报告。发现初起火灾应当立即报警并及时扑救。,0
有两个配电箱门未张贴“当心触电”安全警示标志。立即张贴[SEP]商贸服务教文卫类[SEP]电气安全[SEP]配电箱（柜、板）[SEP]配电箱(柜)门张贴有“当心触电”安全警示标志。金属箱(柜)门与金属箱(柜)体必须通过采用编织软铜线做电气连接。,0
有应急灯坏，立即更换[SEP]工业/危化品类[SEP]消防检查[SEP]防火检查[SEP]安全疏散通道、疏散指示标志、应急照明和安全出口情况；,0
三车间一电箱上摆放杂物[SEP]工业/危化品类[SEP]电气安全[SEP]配电箱（柜、板）[SEP]配电箱、开关箱内不得放置任何杂物，电器元件不可安装在可燃材料上。,0
疏散通道。[SEP]三小场所[SEP]消防安全[SEP]消防通道和疏散[SEP]疏散通道、安全出口设置应急照明灯和疏散指示标志。,1
安全警示标志不清晰，已整改[SEP]商贸服务教文卫类[SEP]危险作业与风险管控[SEP]安全警示标志[SEP]应当在易燃、易爆、腐蚀、粉尘、高温、毒物、辐射、电力设施、可能发生坠落、挤压以及其他各类有较大危险因素的工作场所和设备、设施上设置明显的安全警示标志。,0
通道堵塞[SEP]工业/危化品类[SEP]消防检查[SEP]防火巡查[SEP]安全出口、疏散通道是否畅通，安全疏散指示标志、应急照明是否完好；,0
配电室门未关闭，[SEP]工业/危化品类[SEP]电气安全[SEP]配电房[SEP]配电室的门、窗关闭应密合；门应向外开启，但通向高压配电室的门应为双向开启门。与室外相通的洞、通风孔应设防止鼠、蛇类等小动物进入安全防护措施（如采用金属网时，网格不得大于10㎜*10㎜）。室内电缆沟需采取防水和排水措施。,0
安全警示标志太糊，有损坏[SEP]工业/危化品类[SEP]电气安全[SEP]配电箱（柜、板）[SEP]配电箱(柜)门张贴有“当心触电”安全警示标志。金属箱(柜)门与金属箱(柜)体必须通过采用编织软铜线做电气连接。,0
灭火器未点检[SEP]工业/危化品类[SEP]消防检查[SEP]防火巡查[SEP]安全出口、疏散通道是否畅通，安全疏散指示标志、应急照明是否完好；,0
疏散通道有杂物堵塞，已经清理，通道畅通[SEP]工业/危化品类[SEP]消防检查[SEP]防火巡查[SEP]安全出口、疏散通道是否畅通，安全疏散指示标志、应急照明是否完好；,0
员工没配戴眼罩，已整改[SEP]工业/危化品类[SEP]职业健康与劳动保护[SEP]职业危害作业场所要求[SEP]采用有效的安全防护设施(包括职业病、职业中毒、职业伤害等)。提供符合国家标准的防护用品，并确保劳动者正确使用。,0
灭火器过期[SEP]工业/危化品类[SEP]消防检查[SEP]防火检查[SEP]灭火器材配置及有效情况；,0
灭火器旁边乱堆货物，已告知员工火灾安全隐患的严重性[SEP]工业/危化品类[SEP]消防检查[SEP]防火检查[SEP]重点工种人员以及其他员工消防知识的掌握情况；,0
配电箱附近有杂物，需清理，搬离，[SEP]工业/危化品类[SEP]电气安全[SEP]配电箱（柜、板）[SEP]配电箱、开关箱内不得放置任何杂物，电器元件不可安装在可燃材料上。,0
检查馥轩厨房防毒面具过期。北区三楼精英教育城喷淋头破裂。[SEP]商贸服务教文卫类[SEP]消防检查[SEP]防火巡查[SEP]消防设施、器材和消防安全标志是否在位、完整。,0
一般隐患[SEP]纯办公场所[SEP]电气安全[SEP]配电箱（柜、板）[SEP]配电箱前操作空间不得占用或遮挡。,1
立式注塑机旁墙壁排气扇无末端漏电保护开关[SEP]工业/危化品类[SEP]电气安全[SEP]漏电保护[SEP]低压配电线路应根据具体情况采用二级或三级保护，在总电源端、分支线首端或线路末端安装漏电保护装置。,0
消防通道不畅通 [SEP]工业/危化品类[SEP]消防检查[SEP]防火检查[SEP]消防车通道、消防水源情况；,0
消防栓缺少消防管接头[SEP]纯办公场所[SEP]消防安全[SEP]灭火器材[SEP]办公场所应按规定配备ABC类干粉灭火器（每50平方米需配备2具4公斤ABC干粉灭火器）。,0
消防通道货车架子堵塞，已经清理走[SEP]工业/危化品类[SEP]消防检查[SEP]防火巡查[SEP]安全出口、疏散通道是否畅通，安全疏散指示标志、应急照明是否完好；,0
消防通道堵塞[SEP]工业/危化品类[SEP]消防检查[SEP]防火巡查[SEP]安全出口、疏散通道是否畅通，安全疏散指示标志、应急照明是否完好；,0
机器设备放置纸板属于已燃物品[SEP]工业/危化品类[SEP]机械设备安全防护[SEP]危险机械设备[SEP]冲、剪、压机械、木工机械、砂轮机、注塑机械、压痕机、粉碎机、抛光机等危险设备的安全防护装置完好齐全。,0
ABC灭火器压力不足，修理后正常[SEP]工业/危化品类[SEP]消防检查[SEP]防火检查[SEP]灭火器材配置及有效情况；,0
安全通道堵塞[SEP]工业/危化品类[SEP]消防检查[SEP]防火巡查[SEP]安全出口、疏散通道是否畅通，安全疏散指示标志、应急照明是否完好；,0
配电箱内放置杂物，要求立即整改[SEP]工业/危化品类[SEP]电气安全[SEP]配电箱（柜、板）[SEP]配电箱、开关箱内不得放置任何杂物，电器元件不可安装在可燃材料上。,0
车间疏散通及消防通道堵塞[SEP]工业/危化品类[SEP]消防检查[SEP]防火巡查[SEP]安全出口、疏散通道是否畅通，安全疏散指示标志、应急照明是否完好；,0
货物比较多，来不及上架，通道有点堵[SEP]商贸服务教文卫类[SEP]消防检查[SEP]防火巡查[SEP]安全出口、疏散通道是否畅通，安全疏散指示标志、应急照明是否完好。,0
三楼保安室方向防火门处于半敞开状态，责令立即整改[SEP]工业/危化品类[SEP]消防检查[SEP]防火巡查[SEP]常闭式防火门是否处于关闭状态，防火卷帘下是否堆放物品影响使用；,0
灭火器过期已更换新[SEP]商贸服务教文卫类[SEP]消防检查[SEP]防火检查[SEP]灭火器材配置及有效情况。,0
经巡查三栋4楼安全出口灯撞坏，相关人员立即通知维修人员重新更换新的安全出口灯。[SEP]工业/危化品类[SEP]消防检查[SEP]防火巡查[SEP]安全出口、疏散通道是否畅通，安全疏散指示标志、应急照明是否完好；,0
危化品分装瓶未张贴安全标签[SEP]商贸服务教文卫类[SEP]消防检查[SEP]防火检查[SEP]易燃易爆危险物品和场所防火防爆措施的落实情况以及其他重要物资的防火安全情况。,0
未建立安全生产责任制[SEP]工业/危化品类[SEP]责任制、管理制度及操作规程[SEP]责任制、管理制度及操作规程[SEP]建立、健全安全生产责任制、安全生产规章制度和操作规程。,0
未及时填写消防器材点检表[SEP]工业/危化品类[SEP]消防检查[SEP]防火检查[SEP]其他需要检查的内容。　　防火检查需填写检查记录。检查人员和被检查部门负责人在检查记录上签名。,0
已消除隐患[SEP]工业/危化品类[SEP]电气安全[SEP]配电箱（柜、板）[SEP]配电箱(柜)门张贴有“当心触电”安全警示标志。金属箱(柜)门与金属箱(柜)体必须通过采用编织软铜线做电气连接。,1
乐群楼17楼应急灯无电源[SEP]商贸服务教文卫类[SEP]消防检查[SEP]防火巡查[SEP]安全出口、疏散通道是否畅通，安全疏散指示标志、应急照明是否完好。,0
现已规定仓库几能放几跺，否则开除[SEP]工业/危化品类[SEP]仓库[SEP]一般要求[SEP]堆垛堆距应符合要求。,0
下雨，厂房墙面垮倒[SEP]工业/危化品类[SEP]作业环境[SEP]通风与照明[SEP]作业场所通风良好。,0
仓库门口应急灯不亮[SEP]工业/危化品类[SEP]消防检查[SEP]防火检查[SEP]安全疏散通道、疏散指示标志、应急照明和安全出口情况；,0
安全出口堵塞[SEP]工业/危化品类[SEP]消防检查[SEP]防火巡查[SEP]安全出口、疏散通道是否畅通，安全疏散指示标志、应急照明是否完好；,0
有3个灭火器压力偏底，要更换[SEP]商贸服务教文卫类[SEP]消防检查[SEP]防火检查[SEP]灭火器材配置及有效情况。,0
有一处未见指示灯[SEP]工业/危化品类[SEP]消防检查[SEP]防火检查[SEP]安全疏散通道、疏散指示标志、应急照明和安全出口情况；,0
占用、堵塞、封闭[SEP]纯办公场所[SEP]消防安全[SEP]消防通道[SEP]疏散通道无占用、堵塞、封闭等现象。安全出口不得上锁。,0
"部分消防疏散道不畅通
[SEP]工业/危化品类[SEP]消防检查[SEP]防火巡查[SEP]安全出口、疏散通道是否畅通，安全疏散指示标志、应急照明是否完好；",0
5月份灭火器没有检查。[SEP]工业/危化品类[SEP]消防检查[SEP]防火巡查[SEP]消防设施、器材和消防安全标志是否在位、完整；,0
电箱上有杂物[SEP]商贸服务教文卫类[SEP]电气安全[SEP]配电箱（柜、板）[SEP]配电箱、开关箱内不得放置任何杂物，电器元件不可安装在可燃材料上。,0
缺少本季度安全生产会议记录，已整改。[SEP]工业/危化品类[SEP]安全管理档案[SEP]安全生产会议记录[SEP]安全生产会议记录包括：（1）安全生产例会记录。（2）安全生产专项会议记录。（3）安全生产奖惩记录。,0
配电箱旁放了几个纸箱[SEP]工业/危化品类[SEP]电气安全[SEP]配电箱（柜、板）[SEP]配电箱、开关箱内不得放置任何杂物，电器元件不可安装在可燃材料上。,0
"货物乱堆放，阻塞逃生通道[SEP]工业/危化品类[SEP]作业环境[SEP]作业通道[SEP]作业通道应保持畅通，禁止临时堆放货物；通道以黄色或者白色线标明。凡有地坑、壕、池的地方,应设置盖板或护栏。",0
未安装漏电保护开关[SEP]纯办公场所[SEP]电气安全[SEP]配电箱（柜、板）[SEP]配电箱、电源插座回路、移动电源插座、低于2.4m照明灯具开关需安装漏电保护器。,0
缺安全出口标识[SEP]商贸服务教文卫类[SEP]消防检查[SEP]防火巡查[SEP]安全出口、疏散通道是否畅通，安全疏散指示标志、应急照明是否完好。,0
车间照明灯有一根不亮，影响工作视线[SEP]工业/危化品类[SEP]消防检查[SEP]防火检查[SEP]安全疏散通道、疏散指示标志、应急照明和安全出口情况；,0
已整改[SEP]工业/危化品类[SEP]消防检查[SEP]防火巡查[SEP]安全出口、疏散通道是否畅通，安全疏散指示标志、应急照明是否完好；,1
疏散通道有占用[SEP]商贸服务教文卫类[SEP]消防检查[SEP]防火巡查[SEP]安全出口、疏散通道是否畅通，安全疏散指示标志、应急照明是否完好。,0
安全出口无指示标志，已经整改[SEP]工业/危化品类[SEP]消防检查[SEP]防火巡查[SEP]安全出口、疏散通道是否畅通，安全疏散指示标志、应急照明是否完好；,0
安全标志掉落；立即整改，张贴完好。[SEP]工业/危化品类[SEP]消防检查[SEP]防火巡查[SEP]消防设施、器材和消防安全标志是否在位、完整；,0
灭火器压力不足，现已更换[SEP]工业/危化品类[SEP]消防检查[SEP]防火检查[SEP]灭火器材配置及有效情况；,0
照明灯不亮[SEP]工业/危化品类[SEP]消防检查[SEP]防火巡查[SEP]消防设施、器材和消防安全标志是否在位、完整；,0
"通道不畅通，堆放杂物
消防灭火器未正确放置
消防水管没安装好[SEP]商贸服务教文卫类[SEP]场所环境[SEP]作业通道[SEP]作业通道应保持畅通，禁止临时堆放货物；通道以黄色或者白色线标明。凡有地坑、壕、池的地方,应设置盖板或护栏。",0
灭火器记录卡片未及时检查[SEP]工业/危化品类[SEP]消防检查[SEP]防火检查[SEP]灭火器材配置及有效情况；,0
甩干机没有作业指导书[SEP]工业/危化品类[SEP]机械设备安全防护[SEP]危险机械设备[SEP]冲、剪、压机械、木工机械、砂轮机、注塑机械、压痕机、粉碎机、抛光机等危险设备的安全防护装置完好齐全。,0
电池仓库货架接地不规范，需螺栓连接或焊接 压接[SEP]工业/危化品类[SEP]电气安全[SEP]保护接地[SEP]电气装置的金属部分，均应做好保护接地。保护接地线应采用焊接、压接、螺栓连接或其他可靠方法连接，严禁缠绕或钩挂。电缆（线）中的绿/黄双色线在任何情况下只能用作保护接地线。中间不允许有接头及破损。,0
2、安全出口、疏散通道是否畅通，安全疏散指示标志、应急照明是否完好；[SEP]工业/危化品类[SEP]消防检查[SEP]防火巡查[SEP]安全出口、疏散通道是否畅通，安全疏散指示标志、应急照明是否完好；,1
消防设施、器材和消防安全标志不完整。[SEP]商贸服务教文卫类[SEP]消防检查[SEP]防火巡查[SEP]消防设施、器材和消防安全标志是否在位、完整。,0
通道有货物堆放[SEP]工业/危化品类[SEP]消防检查[SEP]防火巡查[SEP]安全出口、疏散通道是否畅通，安全疏散指示标志、应急照明是否完好；,0
一楼A4区灭火器下面堆放杂物[SEP]工业/危化品类[SEP]消防检查[SEP]防火巡查[SEP]其他消防安全情况。防火巡查人员应当及时纠正违章行为，妥善处置火灾危险，无法当场处置的，应当立即报告。发现初起火灾应当立即报警并及时扑救。,0
下沙新村潮歌苑4栋1单元1楼防火门敞开[SEP]商贸服务教文卫类[SEP]消防检查[SEP]防火巡查[SEP]常闭式防火门是否处于关闭状态，防火卷帘下是否堆放物品影响使用。,1
安全出口堵塞[SEP]商贸服务教文卫类[SEP]消防检查[SEP]防火检查[SEP]安全疏散通道、疏散指示标志、应急照明和安全出口情况。,0
有两个灭火器过期，已重新更换新的。[SEP]工业/危化品类[SEP]消防检查[SEP]防火巡查[SEP]消防设施、器材和消防安全标志是否在位、完整；,0
灭火气配备不足[SEP]工业/危化品类[SEP]消防检查[SEP]防火检查[SEP]灭火器材配置及有效情况；,0
