,text,label
5184,今天组织了整个园区的应急演练，包括干粉灭火器使用，消防水栓使用，人员急救，暗室逃生，楼道逃生，和设备安全使用警示。由石岩安监特批的第三方专业公司来培训。[SEP]工业/危化品类[SEP]应急管理[SEP]应急演练[SEP]定期组织应急演练。,1
7121,消防（控制室）值班情况和设施运行、记录情况；已整改。[SEP]工业/危化品类[SEP]消防检查[SEP]防火检查[SEP]消防（控制室）值班情况和设施运行、记录情况；,1
856,消防设施、器材和消防安全标志是否在位、完整[SEP]工业/危化品类[SEP]消防检查[SEP]防火巡查[SEP]消防设施、器材和消防安全标志是否在位、完整；,1
9827,整改前，配电箱被遮挡[SEP]工业/危化品类[SEP]电气安全[SEP]配电箱（柜、板）[SEP]配电箱、开关箱内不得放置任何杂物，电器元件不可安装在可燃材料上。,0
6821,"工厂存放废纸箱的框，未及时清理。立即叫收废纸箱的人处理。[SEP]工业/危化品类[SEP]作业环境[SEP]作业通道[SEP]作业通道应保持畅通，禁止临时堆放货物；通道以黄色或者白色线标明。凡有地坑、壕、池的地方,应设置盖板或护栏。",0
11821,已经整改[SEP]工业/危化品类[SEP]消防检查[SEP]防火巡查[SEP]消防设施、器材和消防安全标志是否在位、完整；,1
4260,指示不明确[SEP]工业/危化品类[SEP]消防检查[SEP]防火检查[SEP]安全疏散通道、疏散指示标志、应急照明和安全出口情况；,0
8416,已整改[SEP]工业/危化品类[SEP]消防检查[SEP]防火巡查[SEP]安全出口、疏散通道是否畅通，安全疏散指示标志、应急照明是否完好；,1
4488,已整改[SEP]商贸服务教文卫类[SEP]电气安全[SEP]配电房[SEP]配电房内电缆线应放置在电缆沟内，并应加设盖板。配电柜前后面应放置绝缘垫，其绝缘垫的长度应大于配电柜的宽度。,1
265,闭门器故障，已修理[SEP]工业/危化品类[SEP]消防检查[SEP]防火巡查[SEP]常闭式防火门是否处于关闭状态，防火卷帘下是否堆放物品影响使用；,0
10687,立即整改。[SEP]工业/危化品类[SEP]消防检查[SEP]防火巡查[SEP]消防设施、器材和消防安全标志是否在位、完整；,1
8910,未见机械设备保养记录。[SEP]工业/危化品类[SEP]主要负责人、分管负责人及管理人员履职情况[SEP]分管负责人履职情况[SEP]分管负责人依法履行安全管理职责（存在职业健康危害的单位需自查职业卫生履职情况）。,0
1255,车间垃圾堵塞安全通道，已整改[SEP]工业/危化品类[SEP]消防检查[SEP]防火检查[SEP]安全疏散通道、疏散指示标志、应急照明和安全出口情况；,0
1244,消防巡查记录更新延迟[SEP]工业/危化品类[SEP]消防检查[SEP]防火检查[SEP]防火巡查情况；,1
1096,杂乱摆放[SEP]工业/危化品类[SEP]作业环境[SEP]通风与照明[SEP]作业场所通风良好。,1
5141,"已经整改[SEP]商贸服务教文卫类[SEP]场所环境[SEP]作业通道[SEP]作业通道应保持畅通，禁止临时堆放货物；通道以黄色或者白色线标明。凡有地坑、壕、池的地方,应设置盖板或护栏。",1
11822,仓库要装防爆灯[SEP]工业/危化品类[SEP]消防检查[SEP]防火检查[SEP]用火、用电有无违章情况；,1
9016,已整改[SEP]工业/危化品类[SEP]消防检查[SEP]防火巡查[SEP]安全出口、疏散通道是否畅通，安全疏散指示标志、应急照明是否完好；,1
10691,安全文档要更换新文件夹[SEP]工业/危化品类[SEP]安全管理档案[SEP]安全生产会议记录[SEP]安全生产会议记录包括：（1）安全生产例会记录。（2）安全生产专项会议记录。（3）安全生产奖惩记录。,1
8456,已整改[SEP]工业/危化品类[SEP]消防检查[SEP]防火巡查[SEP]安全出口、疏散通道是否畅通，安全疏散指示标志、应急照明是否完好；,1
6732,后门的安全出口被货物堵塞，已安排负责人及时整改，让出安全疏散通道！[SEP]工业/危化品类[SEP]消防检查[SEP]防火巡查[SEP]安全出口、疏散通道是否畅通，安全疏散指示标志、应急照明是否完好；,0
2048,机床保养记录没有张贴，[SEP]工业/危化品类[SEP]安全管理档案[SEP]安全生产会议记录[SEP]安全生产会议记录包括：（1）安全生产例会记录。（2）安全生产专项会议记录。（3）安全生产奖惩记录。,1
3793,电线线槽内掉落[SEP]工业/危化品类[SEP]电气安全[SEP]电气线路及电源插头插座[SEP]电源插座、电源插头应按规定正确接线。,0
2875,已整改[SEP]工业/危化品类[SEP]消防检查[SEP]防火巡查[SEP]用火、用电有无违章情况；,1
1932,开工培训[SEP]工业/危化品类[SEP]安全教育培训[SEP]员工安全教育及外来人员培训教育[SEP]制定并实施全员参与的安全教育培训计划，并建立档案。对外来施工、工作和参访人员进行安全教育和安全告知并建立档案。,1
5407,货车堵塞消防通道[SEP]商贸服务教文卫类[SEP]消防检查[SEP]防火巡查[SEP]安全出口、疏散通道是否畅通，安全疏散指示标志、应急照明是否完好。,0
5441,配电箱(柜)门张贴无“当心触电”安全警示标志[SEP]商贸服务教文卫类[SEP]电气安全[SEP]配电箱（柜、板）[SEP]配电箱(柜)门张贴有“当心触电”安全警示标志。金属箱(柜)门与金属箱(柜)体必须通过采用编织软铜线做电气连接。,0
3688, [SEP]商贸服务教文卫类[SEP]消防检查[SEP]防火巡查[SEP]安全出口、疏散通道是否畅通，安全疏散指示标志、应急照明是否完好。,1
3132,消防设施、器材和消防安全标志是否在位、完整[SEP]工业/危化品类[SEP]消防检查[SEP]防火巡查[SEP]消防设施、器材和消防安全标志是否在位、完整；,1
1668,消防设施、器材和消防安全标志是否在位、完整[SEP]工业/危化品类[SEP]消防检查[SEP]防火巡查[SEP]消防设施、器材和消防安全标志是否在位、完整；,1
10404,灭火器没有按时月检。[SEP]商贸服务教文卫类[SEP]消防检查[SEP]防火检查[SEP]灭火器材配置及有效情况。,0
9935,标志[SEP]商贸服务教文卫类[SEP]消防检查[SEP]防火巡查[SEP]消防设施、器材和消防安全标志是否在位、完整。,1
10220,消防通道有货物堵塞[SEP]工业/危化品类[SEP]消防检查[SEP]防火巡查[SEP]安全出口、疏散通道是否畅通，安全疏散指示标志、应急照明是否完好；,0
7483,防爆柜内部分危化品无MSDS[SEP]商贸服务教文卫类[SEP]危险作业与风险管控[SEP]安全警示标志[SEP]应当在易燃、易爆、腐蚀、粉尘、高温、毒物、辐射、电力设施、可能发生坠落、挤压以及其他各类有较大危险因素的工作场所和设备、设施上设置明显的安全警示标志。,0
4958,配电箱接地线松动[SEP]工业/危化品类[SEP]电气安全[SEP]配电箱（柜、板）[SEP]配电箱(柜)进出线中的N线必须通过N线端子板连接，接地线必须通过接地线端子板连接；,0
2068,车间应急照明不通电[SEP]工业/危化品类[SEP]消防检查[SEP]防火巡查[SEP]安全出口、疏散通道是否畅通，安全疏散指示标志、应急照明是否完好；,0
7085,安全出口标识[SEP]工业/危化品类[SEP]消防检查[SEP]防火检查[SEP]安全疏散通道、疏散指示标志、应急照明和安全出口情况；,1
8766,配电箱有杂物[SEP]商贸服务教文卫类[SEP]电气安全[SEP]配电箱（柜、板）[SEP]配电箱、开关箱内不得放置任何杂物，电器元件不可安装在可燃材料上。,0
8963,排除[SEP]工业/危化品类[SEP]消防检查[SEP]防火检查[SEP]灭火器材配置及有效情况；,1
5368,隐患已整改[SEP]工业/危化品类[SEP]消防检查[SEP]防火巡查[SEP]安全出口、疏散通道是否畅通，安全疏散指示标志、应急照明是否完好；,1
8511,安全防护是否符合要求。[SEP]建筑施工类[SEP]高处作业吊篮[SEP]实体安全[SEP]安全防护是否符合要求。,1
963,有隐患[SEP]工业/危化品类[SEP]消防检查[SEP]防火检查[SEP]灭火器材配置及有效情况；,1
1068,已整改[SEP]工业/危化品类[SEP]消防检查[SEP]防火巡查[SEP]消防安全重点部位的人员在岗情况；,1
7919,疏散指示标志[SEP]工业/危化品类[SEP]消防检查[SEP]防火检查[SEP]安全疏散通道、疏散指示标志、应急照明和安全出口情况；,1
2839,安全出口标志不亮、未安装应急照明灯[SEP]工业/危化品类[SEP]消防检查[SEP]防火巡查[SEP]安全出口、疏散通道是否畅通，安全疏散指示标志、应急照明是否完好；,0
10340,应急照明有一个失灵，现已经重新安装[SEP]商贸服务教文卫类[SEP]消防检查[SEP]防火检查[SEP]安全疏散通道、疏散指示标志、应急照明和安全出口情况。,0
3268,所有灭火器2019-3-18都已拿到消防中队隔壁店面进行年审及更换[SEP]工业/危化品类[SEP]消防检查[SEP]防火检查[SEP]灭火器材配置及有效情况；,0
11173,安全检查过程中，发现焊机外壳没有连接接地线接地。[SEP]工业/危化品类[SEP]危险设备[SEP]电焊机[SEP]焊机外壳必须连接接地线接地。,0
2727,、开关箱内放置任何杂物[SEP]工业/危化品类[SEP]电气安全[SEP]配电箱（柜、板）[SEP]配电箱、开关箱内不得放置任何杂物，电器元件不可安装在可燃材料上。,0
2998,灭火器材配置及有效情况[SEP]工业/危化品类[SEP]消防检查[SEP]防火检查[SEP]灭火器材配置及有效情况；,1
11511,遮挡。[SEP]纯办公场所[SEP]电气安全[SEP]配电箱（柜、板）[SEP]配电箱前操作空间不得占用或遮挡。,1
2214,防火毯被盗[SEP]工业/危化品类[SEP]消防检查[SEP]防火巡查[SEP]消防设施、器材和消防安全标志是否在位、完整；,0
1910,已经整改[SEP]工业/危化品类[SEP]消防检查[SEP]防火巡查[SEP]消防设施、器材和消防安全标志是否在位、完整；,1
3109,航吊吊货时未安装安全保护扣[SEP]工业/危化品类[SEP]机械设备安全防护[SEP]危险机械设备[SEP]冲、剪、压机械、木工机械、砂轮机、注塑机械、压痕机、粉碎机、抛光机等危险设备的安全防护装置完好齐全。,0
2901,消防栓堵塞，目前己整改清理。[SEP]工业/危化品类[SEP]消防检查[SEP]防火巡查[SEP]消防设施、器材和消防安全标志是否在位、完整；,0
7185,气体房安全标识缺失，已经通知车间补贴[SEP]工业/危化品类[SEP]消防检查[SEP]防火检查[SEP]消防安全标志的设置情况和完好、有效情况；,0
2932,前台应急灯不亮，待更换[SEP]工业/危化品类[SEP]消防检查[SEP]防火巡查[SEP]安全出口、疏散通道是否畅通，安全疏散指示标志、应急照明是否完好；,0
3367,无[SEP]工业/危化品类[SEP]安全管理档案[SEP]隐患排查记录[SEP]建立并保存事故隐患排查治理档案。,1
4297,安全通道标志灯不亮[SEP]工业/危化品类[SEP]消防检查[SEP]防火检查[SEP]安全疏散通道、疏散指示标志、应急照明和安全出口情况；,0
1471,灭火器压力不够，已经更换[SEP]纯办公场所[SEP]消防安全[SEP]灭火器材[SEP]办公场所应按规定配备ABC类干粉灭火器（每50平方米需配备2具4公斤ABC干粉灭火器）。,0
4274,通道堵塞[SEP]工业/危化品类[SEP]消防检查[SEP]防火检查[SEP]消防车通道、消防水源情况；,0
9036,未进行教育[SEP]工业/危化品类[SEP]安全教育培训[SEP]员工安全教育及外来人员培训教育[SEP]制定并实施全员参与的安全教育培训计划，并建立档案。对外来施工、工作和参访人员进行安全教育和安全告知并建立档案。,0
9676,室外空调排水管放置地面存在安全隐患（行人容易摔跤）；[SEP]商贸服务教文卫类[SEP]消防检查[SEP]防火检查[SEP]其他需要检查的内容。　　,0
209,电线裸露，已整改[SEP]商贸服务教文卫类[SEP]消防检查[SEP]防火检查[SEP]火灾隐患的整改情况以及防范措施的落实情况。,0
8024,发现问题，马上改善问题[SEP]工业/危化品类[SEP]安全教育培训[SEP]特种设备作业人员和特种作业人员培训[SEP]特种设备作业人员、特种作业人员经专业培训取得相应资格证书并有效。,1
3571,已摆放在位[SEP]工业/危化品类[SEP]消防检查[SEP]防火巡查[SEP]消防设施、器材和消防安全标志是否在位、完整；,1
2581,暂时占用消防通道，已处理[SEP]工业/危化品类[SEP]消防检查[SEP]防火巡查[SEP]安全出口、疏散通道是否畅通，安全疏散指示标志、应急照明是否完好；,0
3699,灭火器日检查为做好[SEP]商贸服务教文卫类[SEP]消防检查[SEP]防火检查[SEP]灭火器材配置及有效情况。,1
4979,电线杂乱[SEP]工业/危化品类[SEP]电气安全[SEP]电气线路及电源插头插座[SEP]电源插座、电源插头应按规定正确接线。,0
4451,主要负责人及从业人员有安全培训[SEP]三小场所[SEP]基础管理[SEP]安全培训[SEP]主要负责人及从业人员有安全培训记录。,1
5029,疏散损坏[SEP]纯办公场所[SEP]基础管理[SEP]安全培训[SEP]主要负责人及从业人员有安全培训记录。,1
204,轻微[SEP]工业/危化品类[SEP]消防检查[SEP]防火检查[SEP]灭火器材配置及有效情况；,1
11831,1、配电箱(柜)门张贴有“当心触电”安全警示标志。金属箱(柜)门与金属箱(柜)体必须通过采用编织软铜线做电气连接。[SEP]商贸服务教文卫类[SEP]电气安全[SEP]配电箱（柜、板）[SEP]配电箱(柜)门张贴有“当心触电”安全警示标志。金属箱(柜)门与金属箱(柜)体必须通过采用编织软铜线做电气连接。,1
9783,制度[SEP]交通运输类[SEP]责任制、管理制度及操作规程[SEP]责任制、管理制度及操作规程[SEP]建立、健全安全生产责任制、安全生产规章制度和操作规程。,1
2807,灭火器材配置及有效情况[SEP]工业/危化品类[SEP]消防检查[SEP]防火检查[SEP]灭火器材配置及有效情况；,1
5719,个虽灭火器检查卡未更换[SEP]工业/危化品类[SEP]消防检查[SEP]防火检查[SEP]灭火器材配置及有效情况；,0
9902,已整改[SEP]商贸服务教文卫类[SEP]电气安全[SEP]临时用电[SEP]临时用电的配电箱和电气设备，必须安装漏电保护装置。线路敷设应符合电气装置设置及安装规范，室内不低于2.5m，室外不低于4.5m，道路上方不低于6m。,1
10763,用火、用电有无违章情况；[SEP]工业/危化品类[SEP]消防检查[SEP]防火检查[SEP]用火、用电有无违章情况；,1
1465,防火门坏，立即整改[SEP]工业/危化品类[SEP]消防检查[SEP]防火巡查[SEP]常闭式防火门是否处于关闭状态，防火卷帘下是否堆放物品影响使用；,0
84,三车间一电箱上摆放杂物[SEP]工业/危化品类[SEP]电气安全[SEP]配电箱（柜、板）[SEP]配电箱、开关箱内不得放置任何杂物，电器元件不可安装在可燃材料上。,0
5665,已整改[SEP]商贸服务教文卫类[SEP]电气安全[SEP]配电箱（柜、板）[SEP]配电箱、开关箱内不得放置任何杂物，电器元件不可安装在可燃材料上。,1
5968,灭火器没有定期检查，摆放位置过高[SEP]工业/危化品类[SEP]消防检查[SEP]防火检查[SEP]灭火器材配置及有效情况；,0
9434,三楼小二班电源线盒盖损坏掉落，现立即加盖防止发生安全隐患。[SEP]商贸服务教文卫类[SEP]电气安全[SEP]配电房[SEP]配电房内电缆线应放置在电缆沟内，并应加设盖板。配电柜前后面应放置绝缘垫，其绝缘垫的长度应大于配电柜的宽度。,0
5864,已整改[SEP]工业/危化品类[SEP]电气安全[SEP]配电房[SEP]配电室的门、窗关闭应密合；门应向外开启，但通向高压配电室的门应为双向开启门。与室外相通的洞、通风孔应设防止鼠、蛇类等小动物进入安全防护措施（如采用金属网时，网格不得大于10㎜*10㎜）。室内电缆沟需采取防水和排水措施。,1
11784,复工前检查设备，调试设备，检查消防设施是否有效。检查各位置的安全标识和标志是否完好。地面标线时候需要划分。[SEP]工业/危化品类[SEP]警示标志与危险作业[SEP]风险公告[SEP]对有较大危险因素的生产经营场所和有关设施、设备进行辨识，设置明显的安全警示标志，制定防范措施。,1
58,灭火器过期[SEP]交通运输类[SEP]消防安全[SEP]防火检查[SEP]灭火器材配置及有效情况。,0
11635,疏散通道是否畅通[SEP]工业/危化品类[SEP]消防检查[SEP]防火巡查[SEP]安全出口、疏散通道是否畅通，安全疏散指示标志、应急照明是否完好；,1
1708,配电箱(柜)门张贴“当心触电”安全警示标志有个别模糊不清，要求更换整改。[SEP]商贸服务教文卫类[SEP]电气安全[SEP]配电箱（柜、板）[SEP]配电箱(柜)门张贴有“当心触电”安全警示标志。金属箱(柜)门与金属箱(柜)体必须通过采用编织软铜线做电气连接。,0
9040,1楼处发现2灌灭火器失效[SEP]工业/危化品类[SEP]消防检查[SEP]防火检查[SEP]灭火器材配置及有效情况；,0
5282,消防设施、器材和消防安全标志已在位、完整。[SEP]工业/危化品类[SEP]消防检查[SEP]防火巡查[SEP]用火、用电有无违章情况；,1
2773,"B栋一楼消火栓被被堵塞[SEP]工业/危化品类[SEP]作业环境[SEP]作业通道[SEP]作业通道应保持畅通，禁止临时堆放货物；通道以黄色或者白色线标明。凡有地坑、壕、池的地方,应设置盖板或护栏。",0
4940,消防设施[SEP]工业/危化品类[SEP]消防检查[SEP]防火巡查[SEP]消防设施、器材和消防安全标志是否在位、完整；,1
7945,消防器材遮挡[SEP]工业/危化品类[SEP]消防检查[SEP]防火巡查[SEP]安全出口、疏散通道是否畅通，安全疏散指示标志、应急照明是否完好；,0
10474,1.消防通道堵塞2.配电箱上未张贴警示标示。已责令立即整改。[SEP]工业/危化品类[SEP]作业环境[SEP]通风与照明[SEP]作业场所通风良好。,0
871,防火检查无填写检查记录[SEP]工业/危化品类[SEP]消防检查[SEP]防火检查[SEP]其他需要检查的内容。　　防火检查需填写检查记录。检查人员和被检查部门负责人在检查记录上签名。,0
2585,配线箱下有杂物，已清理。[SEP]纯办公场所[SEP]电气安全[SEP]配电箱（柜、板）[SEP]配电箱前操作空间不得占用或遮挡。,0
7527,没气[SEP]工业/危化品类[SEP]消防检查[SEP]防火巡查[SEP]消防设施、器材和消防安全标志是否在位、完整；,1
3205,有[SEP]工业/危化品类[SEP]消防检查[SEP]防火巡查[SEP]用火、用电有无违章情况；,1
5413,已整改[SEP]工业/危化品类[SEP]消防检查[SEP]防火巡查[SEP]消防设施、器材和消防安全标志是否在位、完整；,1
2882,"灭火器没有摆放在灭火器箱,现已整改[SEP]纯办公场所[SEP]消防安全[SEP]灭火器材[SEP]灭火器应合理分布，固定摆放并定期校验。",0
7726,灭火器未定期检查[SEP]纯办公场所[SEP]消防安全[SEP]灭火器材[SEP]灭火器应合理分布，固定摆放并定期校验。,0
7964,整改前安全门口物品阻挡安全出口，整改后已令搬走阻挡物品[SEP]工业/危化品类[SEP]消防检查[SEP]防火检查[SEP]消防安全重点部位的管理情况；,0
6772,大功率风扇无加丝网[SEP]工业/危化品类[SEP]机械设备安全防护[SEP]危险机械设备[SEP]冲、剪、压机械、木工机械、砂轮机、注塑机械、压痕机、粉碎机、抛光机等危险设备的安全防护装置完好齐全。,0
7245,拖地电线[SEP]工业/危化品类[SEP]消防检查[SEP]防火检查[SEP]用火、用电有无违章情况；,0
89,安全警示标志太糊，有损坏[SEP]工业/危化品类[SEP]电气安全[SEP]配电箱（柜、板）[SEP]配电箱(柜)门张贴有“当心触电”安全警示标志。金属箱(柜)门与金属箱(柜)体必须通过采用编织软铜线做电气连接。,0
9394,部分灭火器落地放置，因设置灭火器箱放置，已整改[SEP]工业/危化品类[SEP]消防检查[SEP]防火巡查[SEP]消防设施、器材和消防安全标志是否在位、完整；,0
26,电源插头应按规定正确接线[SEP]商贸服务教文卫类[SEP]电气安全[SEP]电气线路及电源插头插座[SEP]电源插座、电源插头应按规定正确接线。,1
2523, [SEP]商贸服务教文卫类[SEP]安全教育培训[SEP]被派遣劳动者教育[SEP]劳务派遣单位应当建立培训制度，对被派遣劳动者进行上岗知识、安全教育培训。,1
4097,消防设施、器材和消防安全标志是否在位、完整；[SEP]工业/危化品类[SEP]消防检查[SEP]防火巡查[SEP]消防设施、器材和消防安全标志是否在位、完整；,1
8333,1、配电箱(柜)门张贴有“当心触电”安全警示标志。金属箱(柜)门与金属箱(柜)体必须通过采用编织软铜线做电气连接。[SEP]工业/危化品类[SEP]电气安全[SEP]配电箱（柜、板）[SEP]配电箱(柜)门张贴有“当心触电”安全警示标志。金属箱(柜)门与金属箱(柜)体必须通过采用编织软铜线做电气连接。,1
5429,配电箱“当心触电”标志卷翘，已重新张贴完成。[SEP]三小场所[SEP]电气安全[SEP]配电箱（柜、板）[SEP]配电箱应设置“当心触电”安全警示标志。箱门与箱体应跨接并接地。,0
9474,安全疏散指示灯不亮[SEP]工业/危化品类[SEP]消防检查[SEP]防火巡查[SEP]安全出口、疏散通道是否畅通，安全疏散指示标志、应急照明是否完好；,0
9455,"作业通道应保持畅通，禁止临时堆放货物；通道以黄色或者白色线标明。凡有地坑、壕、池的地方,应设置盖板或护栏。[SEP]商贸服务教文卫类[SEP]场所环境[SEP]作业通道[SEP]作业通道应保持畅通，禁止临时堆放货物；通道以黄色或者白色线标明。凡有地坑、壕、池的地方,应设置盖板或护栏。",1
4831,1、建立并保存事故隐患排查治理档案。[SEP]工业/危化品类[SEP]安全管理档案[SEP]隐患排查记录[SEP]建立并保存事故隐患排查治理档案。,1
5179, [SEP]工业/危化品类[SEP]消防检查[SEP]防火巡查[SEP]消防设施、器材和消防安全标志是否在位、完整；,1
10854,三楼员工通道垃圾较多，已通知清洁部立即清理。[SEP]商贸服务教文卫类[SEP]消防检查[SEP]防火巡查[SEP]安全出口、疏散通道是否畅通，安全疏散指示标志、应急照明是否完好。,0
2050,已建立[SEP]工业/危化品类[SEP]责任制、管理制度及操作规程[SEP]责任制、管理制度及操作规程[SEP]建立、健全安全生产责任制、安全生产规章制度和操作规程。,1
6543,地拖线不合格，及配电箱无内盖[SEP]工业/危化品类[SEP]消防检查[SEP]防火检查[SEP]用火、用电有无违章情况；,0
10454,安全通道不畅通[SEP]工业/危化品类[SEP]消防检查[SEP]防火检查[SEP]安全疏散通道、疏散指示标志、应急照明和安全出口情况；,0
3225,已整改[SEP]工业/危化品类[SEP]消防检查[SEP]防火检查[SEP]灭火器材配置及有效情况；,1
2952,"货物超出黄线[SEP]工业/危化品类[SEP]作业环境[SEP]作业通道[SEP]作业通道应保持畅通，禁止临时堆放货物；通道以黄色或者白色线标明。凡有地坑、壕、池的地方,应设置盖板或护栏。",0
7501,二楼车间的消防通道上摆有货物[SEP]工业/危化品类[SEP]消防检查[SEP]防火巡查[SEP]安全出口、疏散通道是否畅通，安全疏散指示标志、应急照明是否完好；,0
952,没有警示[SEP]商贸服务教文卫类[SEP]电气安全[SEP]配电房[SEP]配电房内电缆线应放置在电缆沟内，并应加设盖板。配电柜前后面应放置绝缘垫，其绝缘垫的长度应大于配电柜的宽度。,0
6100,安全出口指示灯从新换新[SEP]工业/危化品类[SEP]消防检查[SEP]防火巡查[SEP]安全出口、疏散通道是否畅通，安全疏散指示标志、应急照明是否完好；,1
10010,1[SEP]工业/危化品类[SEP]应急管理[SEP]应急演练[SEP]定期组织应急演练。,1
8728,未建立[SEP]商贸服务教文卫类[SEP]安全管理档案[SEP]隐患排查记录[SEP]建立并保存事故隐患排查治理档案。,1
1991,疏散通道有杂物[SEP]工业/危化品类[SEP]消防检查[SEP]防火巡查[SEP]安全出口、疏散通道是否畅通，安全疏散指示标志、应急照明是否完好；,0
7260,2栋2单元12.16.22.27楼消防通道有杂物，立即安排人员搬离整改！[SEP]商贸服务教文卫类[SEP]消防检查[SEP]防火巡查[SEP]安全出口、疏散通道是否畅通，安全疏散指示标志、应急照明是否完好。,0
11517,颐福苑负一层通道安全出口标志灯不亮[SEP]商贸服务教文卫类[SEP]消防检查[SEP]防火巡查[SEP]安全出口、疏散通道是否畅通，安全疏散指示标志、应急照明是否完好。,0
7773,地线未装好[SEP]工业/危化品类[SEP]电气安全[SEP]配电箱（柜、板）[SEP]配电箱(柜)进出线中的N线必须通过N线端子板连接，接地线必须通过接地线端子板连接；,0
286,有隐患[SEP]工业/危化品类[SEP]消防检查[SEP]防火巡查[SEP]安全出口、疏散通道是否畅通，安全疏散指示标志、应急照明是否完好；,1
3064,3楼仓库左侧楼梯口处防火门不是处于关闭状态[SEP]工业/危化品类[SEP]消防检查[SEP]防火巡查[SEP]常闭式防火门是否处于关闭状态，防火卷帘下是否堆放物品影响使用；,0
672,照明灯不亮[SEP]工业/危化品类[SEP]消防检查[SEP]防火检查[SEP]安全疏散通道、疏散指示标志、应急照明和安全出口情况；,0
8633,本季度已进行了消防演习[SEP]工业/危化品类[SEP]应急管理[SEP]应急演练[SEP]定期组织应急演练。,1
8944,"车间地上有两个小坑，存在安全隐患，立即整改。填平处理，已完成[SEP]工业/危化品类[SEP]作业环境[SEP]作业通道[SEP]作业通道应保持畅通，禁止临时堆放货物；通道以黄色或者白色线标明。凡有地坑、壕、池的地方,应设置盖板或护栏。",0
3527,防爆柜上有放东西[SEP]工业/危化品类[SEP]消防检查[SEP]防火检查[SEP]安全疏散通道、疏散指示标志、应急照明和安全出口情况；,0
10416,已疏通安全出口[SEP]纯办公场所[SEP]消防安全[SEP]消防通道[SEP]疏散通道无占用、堵塞、封闭等现象。安全出口不得上锁。,0
3609,新安装的配电箱没有标示[SEP]工业/危化品类[SEP]电气安全[SEP]配电箱（柜、板）[SEP]配电箱(柜)门张贴有“当心触电”安全警示标志。金属箱(柜)门与金属箱(柜)体必须通过采用编织软铜线做电气连接。,0
